match_id,team,xg_for,xg_against
3825676,Villarreal,0.433,1.48
3825674,Atlético Madrid,1.847,0.206
3825674,Espanyol,0.206,1.847
3825673,Las Palmas,0.425,2.056
3825673,RC Deportivo La Coruña,2.056,0.425
3825671,Celta Vigo,1.548,0.821
3825671,Sporting Gijón,0.821,1.548
3825672,Málaga,1.747,0.548
3825672,Granada,0.548,1.747
3825670,Levante UD,1.431,0.862
3825670,Real Betis,0.862,1.431
3825669,Getafe,0.659,1.723
3825669,Rayo Vallecano,1.723,0.659
3825668,Sporting Gijón,2.405,2.297
3825668,Levante UD,2.297,2.405
3825666,Real Betis,0.291,2.065
3825666,Atlético Madrid,2.065,0.291
3825665,Granada,0.608,1.17
3825665,Athletic Club,1.17,0.608
3825667,Villarreal,1.715,2.664
3825667,Eibar,2.664,1.715
3825664,Real Sociedad,0.995,1.097
3825664,Sevilla,1.097,0.995
3825662,RC Deportivo La Coruña,1.078,1.135
3825662,Celta Vigo,1.135,1.078
3825888,Valencia,1.516,1.635
3825888,Las Palmas,1.635,1.516
3825663,Espanyol,0.874,1.169
3825663,Málaga,1.169,0.874
3825659,Athletic Club,0.518,0.461
3825659,Espanyol,0.461,0.518
3825658,Atlético Madrid,1.354,0.453
3825658,Sporting Gijón,0.453,1.354
3825660,Barcelona,2.87,0.326
3825660,Villarreal,0.326,2.87
3825661,Sevilla,1.998,1.634
3825661,Real Madrid,1.634,1.998
3825656,Levante UD,1.53,0.564
3825656,RC Deportivo La Coruña,0.564,1.53
3825657,Málaga,0.805,0.793
3825657,Real Betis,0.793,0.805
3825652,Las Palmas,0.975,0.754
3825652,Real Sociedad,0.754,0.975
3825623,Valencia,1.601,1.619
3825623,Málaga,1.619,1.601
3825626,Real Betis,1.88,1.406
3825626,Espanyol,1.406,1.88
3825616,Málaga,1.57,1.188
3825616,Real Sociedad,1.188,1.57
3825608,Eibar,1.478,1.294
3825608,Celta Vigo,1.294,1.478
3825601,Rayo Vallecano,3.22,0.545
3825601,Sporting Gijón,0.545,3.22
3825899,Getafe,2.988,0.605
3825899,Valencia,0.605,2.988
3825852,Las Palmas,0.442,1.216
3825852,Sporting Gijón,1.216,0.442
3825647,Valencia,2.572,0.843
3825647,Levante UD,0.843,2.572
3825637,Barcelona,1.711,0.778
3825637,Eibar,0.778,1.711
3825628,Getafe,2.796,0.542
3825628,Las Palmas,0.542,2.796
3825619,Levante UD,0.672,0.152
3825619,Villarreal,0.152,0.672
3825618,Las Palmas,1.252,1.377
3825618,Eibar,1.377,1.252
3825611,RC Deportivo La Coruña,1.853,0.51
3825611,Espanyol,0.51,1.853
3825609,Real Sociedad,1.242,0.611
3825609,Athletic Club,0.611,1.242
3825598,Atlético Madrid,1.094,0.479
3825598,Getafe,0.479,1.094
3825584,Granada,1.028,1.06
3825584,Villarreal,1.06,1.028
3825570,Granada,1.191,2.271
3825570,Eibar,2.271,1.191
3825562,Málaga,1.088,1.415
3825562,Sevilla,1.415,1.088
3825904,Eibar,2.393,1.061
3825904,Real Betis,1.061,2.393
3825901,Real Madrid,2.108,1.83
3825901,Valencia,1.83,2.108
3825898,Celta Vigo,0.37,1.213
3825898,RC Deportivo La Coruña,1.213,0.37
3825893,Real Madrid,1.406,0.282
3825893,Villarreal,0.282,1.406
3825892,Granada,0.461,2.189
3825892,Real Sociedad,2.189,0.461
3825886,Rayo Vallecano,1.361,1.663
3825886,Real Madrid,1.663,1.361
